Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.497281, 0.000000,-0.331224
0.000500,-0.482629, 0.000500,-0.316573
0.001000,-0.428904, 0.001000,-0.316573
0.001500,-0.482629, 0.001500,-0.365413
0.002000,-0.543679, 0.002000,-0.328783
0.002500,-0.472860, 0.002500,-0.353202
0.003000,-0.397159, 0.003000,-0.350760
0.003500,-0.492396, 0.003500,-0.353202
0.004000,-0.524143, 0.004000,-0.348318
0.004500,-0.497281, 0.004500,-0.336109
0.005000,-0.458209, 0.005000,-0.338550
0.005500,-0.472860, 0.005500,-0.336109
0.006000,-0.485070, 0.006000,-0.319014
0.006500,-0.470419, 0.006500,-0.323899
0.007000,-0.472860, 0.007000,-0.331224
0.007500,-0.455767, 0.007500,-0.314130
0.008000,-0.426463, 0.008000,-0.367854
0.008500,-0.436230, 0.008500,-0.316573
0.009000,-0.433789, 0.009000,-0.333666
0.009500,-0.450883, 0.009500,-0.343435
0.010000,-0.443556, 0.010000,-0.350760
0.010500,-0.458209, 0.010500,-0.345876
0.011000,-0.465534, 0.011000,-0.367854
0.011500,-0.485070, 0.011500,-0.370296
0.012000,-0.504607, 0.012000,-0.365413
0.012500,-0.507049, 0.012500,-0.353202
0.013000,-0.511933, 0.013000,-0.355644
0.013500,-0.497281, 0.013500,-0.348318
0.014000,-0.514374, 0.014000,-0.340993
0.014500,-0.494839, 0.014500,-0.323899
0.015000,-0.485070, 0.015000,-0.314130
0.015500,-0.465534, 0.015500,-0.311688
0.016000,-0.465534, 0.016000,-0.316573
0.016500,-0.460650, 0.016500,-0.319014
0.017000,-0.477744, 0.017000,-0.301920
0.017500,-0.448441, 0.017500,-0.326340
0.018000,-0.460650, 0.018000,-0.323899
0.018500,-0.465534, 0.018500,-0.333666
0.019000,-0.421579, 0.019000,-0.314130
0.019500,-0.467976, 0.019500,-0.331224
0.020000,-0.441115, 0.020000,-0.333666
0.020500,-0.450883, 0.020500,-0.345876
0.021000,-0.436230, 0.021000,-0.338550
0.021500,-0.480186, 0.021500,-0.350760
0.022000,-0.492396, 0.022000,-0.340993
0.022500,-0.497281, 0.022500,-0.367854
0.023000,-0.502165, 0.023000,-0.377623
0.023500,-0.538795, 0.023500,-0.362970
