Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.485070, 0.000000,-0.331224
0.000500,-0.494839, 0.000500,-0.340993
0.001000,-0.397159, 0.001000,-0.331224
0.001500,-0.497281, 0.001500,-0.365413
0.002000,-0.531469, 0.002000,-0.323899
0.002500,-0.472860, 0.002500,-0.340993
0.003000,-0.384949, 0.003000,-0.362970
0.003500,-0.507049, 0.003500,-0.350760
0.004000,-0.526584, 0.004000,-0.336109
0.004500,-0.487513, 0.004500,-0.336109
0.005000,-0.475303, 0.005000,-0.336109
0.005500,-0.472860, 0.005500,-0.336109
0.006000,-0.492396, 0.006000,-0.319014
0.006500,-0.482629, 0.006500,-0.309246
0.007000,-0.463093, 0.007000,-0.309246
0.007500,-0.455767, 0.007500,-0.306804
0.008000,-0.438673, 0.008000,-0.358086
0.008500,-0.455767, 0.008500,-0.314130
0.009000,-0.443556, 0.009000,-0.316573
0.009500,-0.463093, 0.009500,-0.340993
0.010000,-0.470419, 0.010000,-0.336109
0.010500,-0.463093, 0.010500,-0.343435
0.011000,-0.475303, 0.011000,-0.360528
0.011500,-0.494839, 0.011500,-0.365413
0.012000,-0.494839, 0.012000,-0.348318
0.012500,-0.507049, 0.012500,-0.340993
0.013000,-0.499723, 0.013000,-0.338550
0.013500,-0.516816, 0.013500,-0.348318
0.014000,-0.514374, 0.014000,-0.331224
0.014500,-0.492396, 0.014500,-0.328783
0.015000,-0.485070, 0.015000,-0.328783
0.015500,-0.463093, 0.015500,-0.326340
0.016000,-0.455767, 0.016000,-0.321456
0.016500,-0.436230, 0.016500,-0.309246
0.017000,-0.467976, 0.017000,-0.297036
0.017500,-0.445999, 0.017500,-0.336109
0.018000,-0.443556, 0.018000,-0.323899
0.018500,-0.470419, 0.018500,-0.326340
0.019000,-0.475303, 0.019000,-0.336109
0.019500,-0.465534, 0.019500,-0.348318
0.020000,-0.448441, 0.020000,-0.336109
0.020500,-0.467976, 0.020500,-0.338550
0.021000,-0.448441, 0.021000,-0.338550
0.021500,-0.467976, 0.021500,-0.343435
0.022000,-0.472860, 0.022000,-0.350760
0.022500,-0.514374, 0.022500,-0.365413
0.023000,-0.516816, 0.023000,-0.377623
0.023500,-0.538795, 0.023500,-0.336109
0.024000,-0.521700, 0.024000,-0.328783
0.024500,-0.497281, 0.024500,-0.306804
0.025000,-0.492396, 0.025000,-0.319014
0.025500,-0.475303, 0.025500,-0.304362
0.026000,-0.455767, 0.026000,-0.306804
0.026500,-0.475303, 0.026500,-0.309246
0.027000,-0.399601, 0.027000,-0.328783
0.027500,-0.409368, 0.027500,-0.338550
0.028000,-0.419136, 0.028000,-0.340993
0.028500,-0.455767, 0.028500,-0.345876
0.029000,-0.463093, 0.029000,-0.345876
0.029500,-0.470419, 0.029500,-0.343435
0.030000,-0.480186, 0.030000,-0.348318
0.030500,-0.460650, 0.030500,-0.350760
0.031000,-0.433789, 0.031000,-0.358086
0.031500,-0.465534, 0.031500,-0.358086
0.032000,-0.477744, 0.032000,-0.360528
0.032500,-0.472860, 0.032500,-0.345876
0.033000,-0.521700, 0.033000,-0.355644
