Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.487513, 0.000000,-0.348318
0.000500,-0.467976, 0.000500,-0.336109
0.001000,-0.394716, 0.001000,-0.333666
0.001500,-0.521700, 0.001500,-0.370296
0.002000,-0.551005, 0.002000,-0.338550
0.002500,-0.355644, 0.002500,-0.353202
0.003000,-0.433789, 0.003000,-0.360528
0.003500,-0.514374, 0.003500,-0.365413
0.004000,-0.489955, 0.004000,-0.331224
0.004500,-0.402043, 0.004500,-0.319014
0.005000,-0.465534, 0.005000,-0.353202
0.005500,-0.494839, 0.005500,-0.350760
0.006000,-0.507049, 0.006000,-0.311688
0.006500,-0.426463, 0.006500,-0.314130
0.007000,-0.433789, 0.007000,-0.326340
0.007500,-0.485070, 0.007500,-0.297036
0.008000,-0.421579, 0.008000,-0.370296
0.008500,-0.438673, 0.008500,-0.309246
0.009000,-0.433789, 0.009000,-0.350760
0.009500,-0.436230, 0.009500,-0.362970
0.010000,-0.463093, 0.010000,-0.360528
0.010500,-0.419136, 0.010500,-0.365413
0.011000,-0.404484, 0.011000,-0.362970
0.011500,-0.441115, 0.011500,-0.375180
0.012000,-0.494839, 0.012000,-0.372739
0.012500,-0.482629, 0.012500,-0.360528
0.013000,-0.477744, 0.013000,-0.345876
0.013500,-0.519259, 0.013500,-0.336109
0.014000,-0.516816, 0.014000,-0.336109
0.014500,-0.475303, 0.014500,-0.306804
0.015000,-0.472860, 0.015000,-0.311688
0.015500,-0.489955, 0.015500,-0.319014
0.016000,-0.455767, 0.016000,-0.323899
0.016500,-0.448441, 0.016500,-0.326340
0.017000,-0.485070, 0.017000,-0.267733
0.017500,-0.414253, 0.017500,-0.336109
0.018000,-0.411810, 0.018000,-0.343435
0.018500,-0.419136, 0.018500,-0.338550
0.019000,-0.404484, 0.019000,-0.362970
0.019500,-0.414253, 0.019500,-0.375180
0.020000,-0.419136, 0.020000,-0.333666
0.020500,-0.436230, 0.020500,-0.333666
0.021000,-0.397159, 0.021000,-0.338550
