Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.465534, 0.000000,-0.340993
0.000500,-0.448441, 0.000500,-0.314130
0.001000,-0.448441, 0.001000,-0.362970
0.001500,-0.477744, 0.001500,-0.387390
0.002000,-0.511933, 0.002000,-0.316573
0.002500,-0.470419, 0.002500,-0.340993
0.003000,-0.475303, 0.003000,-0.375180
0.003500,-0.475303, 0.003500,-0.355644
0.004000,-0.485070, 0.004000,-0.348318
0.004500,-0.477744, 0.004500,-0.350760
0.005000,-0.472860, 0.005000,-0.358086
0.005500,-0.465534, 0.005500,-0.343435
0.006000,-0.465534, 0.006000,-0.321456
0.006500,-0.487513, 0.006500,-0.306804
0.007000,-0.465534, 0.007000,-0.309246
0.007500,-0.467976, 0.007500,-0.289710
0.008000,-0.424020, 0.008000,-0.372739
0.008500,-0.455767, 0.008500,-0.353202
0.009000,-0.470419, 0.009000,-0.336109
0.009500,-0.448441, 0.009500,-0.353202
0.010000,-0.448441, 0.010000,-0.353202
0.010500,-0.453325, 0.010500,-0.377623
0.011000,-0.441115, 0.011000,-0.409368
0.011500,-0.460650, 0.011500,-0.392275
0.012000,-0.494839, 0.012000,-0.367854
0.012500,-0.514374, 0.012500,-0.343435
0.013000,-0.511933, 0.013000,-0.314130
0.013500,-0.533910, 0.013500,-0.323899
0.014000,-0.514374, 0.014000,-0.326340
0.014500,-0.489955, 0.014500,-0.345876
0.015000,-0.492396, 0.015000,-0.331224
0.015500,-0.463093, 0.015500,-0.316573
0.016000,-0.467976, 0.016000,-0.316573
0.016500,-0.463093, 0.016500,-0.326340
0.017000,-0.472860, 0.017000,-0.287269
0.017500,-0.465534, 0.017500,-0.328783
0.018000,-0.431346, 0.018000,-0.372739
0.018500,-0.460650, 0.018500,-0.367854
0.019000,-0.465534, 0.019000,-0.372739
0.019500,-0.470419, 0.019500,-0.365413
0.020000,-0.426463, 0.020000,-0.323899
0.020500,-0.472860, 0.020500,-0.345876
0.021000,-0.426463, 0.021000,-0.377623
0.021500,-0.441115, 0.021500,-0.387390
0.022000,-0.443556, 0.022000,-0.340993
0.022500,-0.511933, 0.022500,-0.340993
0.023000,-0.531469, 0.023000,-0.323899
0.023500,-0.560773, 0.023500,-0.304362
0.024000,-0.529026, 0.024000,-0.336109
0.024500,-0.489955, 0.024500,-0.328783
0.025000,-0.536353, 0.025000,-0.340993
0.025500,-0.404484, 0.025500,-0.326340
0.026000,-0.511933, 0.026000,-0.323899
0.026500,-0.441115, 0.026500,-0.348318
0.027000,-0.409368, 0.027000,-0.340993
0.027500,-0.458209, 0.027500,-0.338550
0.028000,-0.319014, 0.028000,-0.372739
0.028500,-0.436230, 0.028500,-0.358086
0.029000,-0.402043, 0.029000,-0.367854
0.029500,-0.467976, 0.029500,-0.340993
0.030000,-0.485070, 0.030000,-0.345876
