Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.485070, 0.000000,-0.350760
0.000500,-0.475303, 0.000500,-0.309246
0.001000,-0.441115, 0.001000,-0.343435
0.001500,-0.482629, 0.001500,-0.394716
0.002000,-0.507049, 0.002000,-0.316573
0.002500,-0.460650, 0.002500,-0.350760
0.003000,-0.482629, 0.003000,-0.367854
0.003500,-0.467976, 0.003500,-0.365413
0.004000,-0.485070, 0.004000,-0.367854
0.004500,-0.467976, 0.004500,-0.358086
0.005000,-0.472860, 0.005000,-0.348318
0.005500,-0.455767, 0.005500,-0.311688
0.006000,-0.487513, 0.006000,-0.321456
0.006500,-0.487513, 0.006500,-0.314130
0.007000,-0.472860, 0.007000,-0.333666
0.007500,-0.443556, 0.007500,-0.323899
0.008000,-0.416694, 0.008000,-0.384949
0.008500,-0.463093, 0.008500,-0.345876
0.009000,-0.443556, 0.009000,-0.331224
0.009500,-0.460650, 0.009500,-0.355644
0.010000,-0.455767, 0.010000,-0.372739
0.010500,-0.448441, 0.010500,-0.382506
0.011000,-0.428904, 0.011000,-0.397159
0.011500,-0.453325, 0.011500,-0.389833
0.012000,-0.480186, 0.012000,-0.380064
0.012500,-0.514374, 0.012500,-0.365413
0.013000,-0.524143, 0.013000,-0.316573
0.013500,-0.533910, 0.013500,-0.321456
0.014000,-0.514374, 0.014000,-0.331224
0.014500,-0.480186, 0.014500,-0.333666
0.015000,-0.472860, 0.015000,-0.336109
0.015500,-0.482629, 0.015500,-0.326340
0.016000,-0.472860, 0.016000,-0.331224
0.016500,-0.458209, 0.016500,-0.331224
0.017000,-0.489955, 0.017000,-0.309246
0.017500,-0.455767, 0.017500,-0.340993
0.018000,-0.431346, 0.018000,-0.372739
0.018500,-0.436230, 0.018500,-0.353202
0.019000,-0.460650, 0.019000,-0.345876
0.019500,-0.448441, 0.019500,-0.358086
0.020000,-0.455767, 0.020000,-0.358086
0.020500,-0.472860, 0.020500,-0.358086
0.021000,-0.428904, 0.021000,-0.394716
0.021500,-0.455767, 0.021500,-0.394716
0.022000,-0.458209, 0.022000,-0.360528
0.022500,-0.521700, 0.022500,-0.338550
0.023000,-0.531469, 0.023000,-0.331224
0.023500,-0.538795, 0.023500,-0.304362
0.024000,-0.514374, 0.024000,-0.314130
0.024500,-0.489955, 0.024500,-0.331224
0.025000,-0.480186, 0.025000,-0.345876
0.025500,-0.472860, 0.025500,-0.323899
0.026000,-0.480186, 0.026000,-0.323899
0.026500,-0.458209, 0.026500,-0.323899
0.027000,-0.428904, 0.027000,-0.331224
0.027500,-0.433789, 0.027500,-0.328783
0.028000,-0.399601, 0.028000,-0.380064
0.028500,-0.436230, 0.028500,-0.377623
0.029000,-0.426463, 0.029000,-0.348318
0.029500,-0.485070, 0.029500,-0.348318
0.030000,-0.467976, 0.030000,-0.358086
0.030500,-0.458209, 0.030500,-0.360528
0.031000,-0.428904, 0.031000,-0.389833
0.031500,-0.438673, 0.031500,-0.387390
0.032000,-0.497281, 0.032000,-0.355644
0.032500,-0.541236, 0.032500,-0.306804
0.033000,-0.560773, 0.033000,-0.287269
0.033500,-0.553447, 0.033500,-0.260406
0.034000,-0.502165, 0.034000,-0.328783
0.034500,-0.467976, 0.034500,-0.355644
0.035000,-0.460650, 0.035000,-0.350760
0.035500,-0.470419, 0.035500,-0.326340
