Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.487513, 0.000000,-0.338550
0.000500,-0.494839, 0.000500,-0.340993
0.001000,-0.375180, 0.001000,-0.343435
0.001500,-0.531469, 0.001500,-0.380064
0.002000,-0.563215, 0.002000,-0.314130
0.002500,-0.389833, 0.002500,-0.350760
0.003000,-0.414253, 0.003000,-0.360528
0.003500,-0.511933, 0.003500,-0.353202
0.004000,-0.504607, 0.004000,-0.348318
0.004500,-0.428904, 0.004500,-0.336109
0.005000,-0.443556, 0.005000,-0.326340
0.005500,-0.514374, 0.005500,-0.345876
0.006000,-0.472860, 0.006000,-0.336109
0.006500,-0.455767, 0.006500,-0.333666
0.007000,-0.480186, 0.007000,-0.333666
0.007500,-0.470419, 0.007500,-0.279943
0.008000,-0.416694, 0.008000,-0.375180
0.008500,-0.433789, 0.008500,-0.319014
0.009000,-0.441115, 0.009000,-0.323899
0.009500,-0.445999, 0.009500,-0.343435
0.010000,-0.438673, 0.010000,-0.340993
0.010500,-0.399601, 0.010500,-0.326340
0.011000,-0.411810, 0.011000,-0.370296
0.011500,-0.477744, 0.011500,-0.375180
0.012000,-0.507049, 0.012000,-0.362970
0.012500,-0.480186, 0.012500,-0.345876
0.013000,-0.504607, 0.013000,-0.375180
0.013500,-0.533910, 0.013500,-0.362970
0.014000,-0.514374, 0.014000,-0.338550
0.014500,-0.494839, 0.014500,-0.326340
0.015000,-0.502165, 0.015000,-0.309246
0.015500,-0.465534, 0.015500,-0.284826
0.016000,-0.472860, 0.016000,-0.304362
0.016500,-0.443556, 0.016500,-0.297036
0.017000,-0.416694, 0.017000,-0.321456
0.017500,-0.465534, 0.017500,-0.319014
0.018000,-0.416694, 0.018000,-0.345876
0.018500,-0.450883, 0.018500,-0.355644
0.019000,-0.428904, 0.019000,-0.360528
0.019500,-0.489955, 0.019500,-0.353202
0.020000,-0.441115, 0.020000,-0.362970
0.020500,-0.387390, 0.020500,-0.372739
0.021000,-0.406926, 0.021000,-0.367854
0.021500,-0.485070, 0.021500,-0.336109
0.022000,-0.487513, 0.022000,-0.350760
0.022500,-0.538795, 0.022500,-0.338550
0.023000,-0.560773, 0.023000,-0.331224
0.023500,-0.514374, 0.023500,-0.314130
0.024000,-0.521700, 0.024000,-0.345876
0.024500,-0.511933, 0.024500,-0.323899
0.025000,-0.492396, 0.025000,-0.287269
0.025500,-0.453325, 0.025500,-0.301920
0.026000,-0.453325, 0.026000,-0.306804
0.026500,-0.399601, 0.026500,-0.311688
0.027000,-0.455767, 0.027000,-0.328783
0.027500,-0.416694, 0.027500,-0.331224
0.028000,-0.375180, 0.028000,-0.360528
0.028500,-0.477744, 0.028500,-0.372739
