Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.485070, 0.000000,-0.350760
0.000500,-0.470419, 0.000500,-0.323899
0.001000,-0.455767, 0.001000,-0.367854
0.001500,-0.470419, 0.001500,-0.404484
0.002000,-0.514374, 0.002000,-0.333666
0.002500,-0.477744, 0.002500,-0.348318
0.003000,-0.460650, 0.003000,-0.394716
0.003500,-0.455767, 0.003500,-0.360528
0.004000,-0.494839, 0.004000,-0.365413
0.004500,-0.475303, 0.004500,-0.358086
0.005000,-0.455767, 0.005000,-0.331224
0.005500,-0.492396, 0.005500,-0.326340
0.006000,-0.480186, 0.006000,-0.319014
0.006500,-0.487513, 0.006500,-0.338550
0.007000,-0.465534, 0.007000,-0.323899
0.007500,-0.460650, 0.007500,-0.323899
0.008000,-0.455767, 0.008000,-0.338550
0.008500,-0.453325, 0.008500,-0.338550
0.009000,-0.448441, 0.009000,-0.340993
0.009500,-0.445999, 0.009500,-0.348318
0.010000,-0.467976, 0.010000,-0.365413
0.010500,-0.441115, 0.010500,-0.370296
0.011000,-0.402043, 0.011000,-0.384949
0.011500,-0.480186, 0.011500,-0.402043
0.012000,-0.487513, 0.012000,-0.355644
0.012500,-0.524143, 0.012500,-0.348318
0.013000,-0.516816, 0.013000,-0.331224
0.013500,-0.507049, 0.013500,-0.328783
0.014000,-0.499723, 0.014000,-0.314130
0.014500,-0.480186, 0.014500,-0.336109
0.015000,-0.480186, 0.015000,-0.321456
0.015500,-0.489955, 0.015500,-0.338550
0.016000,-0.482629, 0.016000,-0.333666
0.016500,-0.445999, 0.016500,-0.331224
0.017000,-0.450883, 0.017000,-0.338550
0.017500,-0.455767, 0.017500,-0.338550
0.018000,-0.431346, 0.018000,-0.355644
0.018500,-0.433789, 0.018500,-0.360528
0.019000,-0.433789, 0.019000,-0.353202
0.019500,-0.465534, 0.019500,-0.367854
0.020000,-0.450883, 0.020000,-0.355644
0.020500,-0.448441, 0.020500,-0.387390
0.021000,-0.428904, 0.021000,-0.389833
0.021500,-0.445999, 0.021500,-0.384949
0.022000,-0.475303, 0.022000,-0.365413
0.022500,-0.509491, 0.022500,-0.328783
0.023000,-0.546121, 0.023000,-0.301920
0.023500,-0.536353, 0.023500,-0.304362
0.024000,-0.511933, 0.024000,-0.316573
0.024500,-0.502165, 0.024500,-0.333666
0.025000,-0.497281, 0.025000,-0.321456
0.025500,-0.472860, 0.025500,-0.340993
0.026000,-0.485070, 0.026000,-0.355644
0.026500,-0.463093, 0.026500,-0.316573
0.027000,-0.428904, 0.027000,-0.328783
0.027500,-0.455767, 0.027500,-0.323899
0.028000,-0.389833, 0.028000,-0.365413
0.028500,-0.433789, 0.028500,-0.370296
0.029000,-0.421579, 0.029000,-0.360528
0.029500,-0.489955, 0.029500,-0.353202
0.030000,-0.467976, 0.030000,-0.353202
0.030500,-0.445999, 0.030500,-0.387390
0.031000,-0.431346, 0.031000,-0.404484
0.031500,-0.475303, 0.031500,-0.384949
0.032000,-0.509491, 0.032000,-0.358086
0.032500,-0.555889, 0.032500,-0.319014
0.033000,-0.560773, 0.033000,-0.279943
0.033500,-0.538795, 0.033500,-0.294594
0.034000,-0.499723, 0.034000,-0.323899
0.034500,-0.472860, 0.034500,-0.338550
0.035000,-0.460650, 0.035000,-0.343435
0.035500,-0.472860, 0.035500,-0.350760
0.036000,-0.436230, 0.036000,-0.304362
0.036500,-0.431346, 0.036500,-0.316573
0.037000,-0.445999, 0.037000,-0.328783
0.037500,-0.384949, 0.037500,-0.362970
0.038000,-0.431346, 0.038000,-0.392275
0.038500,-0.428904, 0.038500,-0.358086
0.039000,-0.470419, 0.039000,-0.348318
0.039500,-0.489955, 0.039500,-0.326340
0.040000,-0.445999, 0.040000,-0.375180
0.040500,-0.443556, 0.040500,-0.414253
0.041000,-0.472860, 0.041000,-0.409368
0.041500,-0.502165, 0.041500,-0.360528
0.042000,-0.572983, 0.042000,-0.289710
0.042500,-0.563215, 0.042500,-0.267733
0.043000,-0.543679, 0.043000,-0.279943
0.043500,-0.482629, 0.043500,-0.314130
0.044000,-0.455767, 0.044000,-0.348318
0.044500,-0.482629, 0.044500,-0.350760
