Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.460650, 0.000000,-0.314130
0.000500,-0.494839, 0.000500,-0.326340
0.001000,-0.409368, 0.001000,-0.343435
0.001500,-0.516816, 0.001500,-0.367854
0.002000,-0.541236, 0.002000,-0.328783
0.002500,-0.436230, 0.002500,-0.345876
0.003000,-0.436230, 0.003000,-0.350760
0.003500,-0.494839, 0.003500,-0.353202
0.004000,-0.507049, 0.004000,-0.348318
0.004500,-0.448441, 0.004500,-0.340993
0.005000,-0.465534, 0.005000,-0.358086
0.005500,-0.494839, 0.005500,-0.323899
0.006000,-0.477744, 0.006000,-0.319014
0.006500,-0.472860, 0.006500,-0.319014
0.007000,-0.470419, 0.007000,-0.304362
0.007500,-0.455767, 0.007500,-0.309246
0.008000,-0.421579, 0.008000,-0.333666
0.008500,-0.438673, 0.008500,-0.314130
0.009000,-0.431346, 0.009000,-0.323899
0.009500,-0.438673, 0.009500,-0.336109
0.010000,-0.463093, 0.010000,-0.336109
0.010500,-0.428904, 0.010500,-0.350760
0.011000,-0.426463, 0.011000,-0.365413
0.011500,-0.460650, 0.011500,-0.375180
0.012000,-0.514374, 0.012000,-0.365413
0.012500,-0.511933, 0.012500,-0.355644
0.013000,-0.529026, 0.013000,-0.343435
0.013500,-0.533910, 0.013500,-0.350760
0.014000,-0.499723, 0.014000,-0.319014
0.014500,-0.487513, 0.014500,-0.333666
0.015000,-0.487513, 0.015000,-0.316573
0.015500,-0.463093, 0.015500,-0.297036
0.016000,-0.450883, 0.016000,-0.309246
0.016500,-0.455767, 0.016500,-0.301920
0.017000,-0.433789, 0.017000,-0.316573
0.017500,-0.472860, 0.017500,-0.309246
0.018000,-0.424020, 0.018000,-0.316573
0.018500,-0.433789, 0.018500,-0.336109
0.019000,-0.428904, 0.019000,-0.340993
0.019500,-0.485070, 0.019500,-0.340993
0.020000,-0.458209, 0.020000,-0.340993
0.020500,-0.375180, 0.020500,-0.345876
0.021000,-0.387390, 0.021000,-0.367854
0.021500,-0.470419, 0.021500,-0.343435
0.022000,-0.494839, 0.022000,-0.355644
