Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.477744, 0.000000,-0.331224
0.000500,-0.494839, 0.000500,-0.338550
0.001000,-0.377623, 0.001000,-0.345876
0.001500,-0.504607, 0.001500,-0.375180
0.002000,-0.560773, 0.002000,-0.328783
0.002500,-0.411810, 0.002500,-0.336109
0.003000,-0.426463, 0.003000,-0.367854
0.003500,-0.519259, 0.003500,-0.353202
0.004000,-0.504607, 0.004000,-0.355644
0.004500,-0.428904, 0.004500,-0.343435
0.005000,-0.470419, 0.005000,-0.343435
0.005500,-0.524143, 0.005500,-0.340993
0.006000,-0.467976, 0.006000,-0.331224
0.006500,-0.485070, 0.006500,-0.331224
0.007000,-0.431346, 0.007000,-0.331224
0.007500,-0.450883, 0.007500,-0.289710
0.008000,-0.421579, 0.008000,-0.367854
0.008500,-0.445999, 0.008500,-0.328783
0.009000,-0.443556, 0.009000,-0.297036
0.009500,-0.448441, 0.009500,-0.321456
0.010000,-0.436230, 0.010000,-0.338550
0.010500,-0.436230, 0.010500,-0.360528
0.011000,-0.409368, 0.011000,-0.380064
0.011500,-0.475303, 0.011500,-0.365413
0.012000,-0.497281, 0.012000,-0.367854
0.012500,-0.533910, 0.012500,-0.370296
0.013000,-0.529026, 0.013000,-0.367854
0.013500,-0.536353, 0.013500,-0.370296
0.014000,-0.514374, 0.014000,-0.358086
0.014500,-0.480186, 0.014500,-0.326340
0.015000,-0.489955, 0.015000,-0.314130
0.015500,-0.465534, 0.015500,-0.297036
0.016000,-0.450883, 0.016000,-0.309246
0.016500,-0.443556, 0.016500,-0.311688
0.017000,-0.467976, 0.017000,-0.282384
0.017500,-0.467976, 0.017500,-0.345876
0.018000,-0.404484, 0.018000,-0.333666
0.018500,-0.450883, 0.018500,-0.348318
0.019000,-0.441115, 0.019000,-0.372739
0.019500,-0.499723, 0.019500,-0.377623
0.020000,-0.426463, 0.020000,-0.353202
0.020500,-0.428904, 0.020500,-0.358086
0.021000,-0.389833, 0.021000,-0.370296
0.021500,-0.450883, 0.021500,-0.358086
0.022000,-0.487513, 0.022000,-0.350760
0.022500,-0.524143, 0.022500,-0.348318
0.023000,-0.536353, 0.023000,-0.372739
0.023500,-0.548563, 0.023500,-0.343435
0.024000,-0.526584, 0.024000,-0.336109
0.024500,-0.519259, 0.024500,-0.319014
0.025000,-0.511933, 0.025000,-0.301920
0.025500,-0.482629, 0.025500,-0.299478
