Time (s), AccelRight Value, Time (s), AccelLeft Value
0.000000,-0.492396, 0.000000,-0.348318
0.000500,-0.472860, 0.000500,-0.333666
0.001000,-0.402043, 0.001000,-0.345876
0.001500,-0.494839, 0.001500,-0.382506
0.002000,-0.524143, 0.002000,-0.336109
0.002500,-0.433789, 0.002500,-0.338550
0.003000,-0.428904, 0.003000,-0.355644
0.003500,-0.482629, 0.003500,-0.350760
0.004000,-0.494839, 0.004000,-0.345876
0.004500,-0.436230, 0.004500,-0.338550
0.005000,-0.467976, 0.005000,-0.326340
0.005500,-0.519259, 0.005500,-0.326340
0.006000,-0.470419, 0.006000,-0.311688
0.006500,-0.509491, 0.006500,-0.333666
0.007000,-0.472860, 0.007000,-0.331224
0.007500,-0.460650, 0.007500,-0.306804
0.008000,-0.448441, 0.008000,-0.314130
0.008500,-0.428904, 0.008500,-0.294594
0.009000,-0.436230, 0.009000,-0.319014
0.009500,-0.441115, 0.009500,-0.345876
0.010000,-0.477744, 0.010000,-0.336109
0.010500,-0.406926, 0.010500,-0.340993
0.011000,-0.404484, 0.011000,-0.350760
0.011500,-0.472860, 0.011500,-0.360528
0.012000,-0.494839, 0.012000,-0.355644
0.012500,-0.524143, 0.012500,-0.367854
0.013000,-0.526584, 0.013000,-0.350760
0.013500,-0.531469, 0.013500,-0.340993
0.014000,-0.492396, 0.014000,-0.321456
0.014500,-0.494839, 0.014500,-0.319014
0.015000,-0.472860, 0.015000,-0.316573
0.015500,-0.450883, 0.015500,-0.301920
0.016000,-0.448441, 0.016000,-0.306804
0.016500,-0.465534, 0.016500,-0.309246
0.017000,-0.443556, 0.017000,-0.319014
0.017500,-0.475303, 0.017500,-0.326340
0.018000,-0.448441, 0.018000,-0.326340
0.018500,-0.431346, 0.018500,-0.340993
0.019000,-0.438673, 0.019000,-0.326340
0.019500,-0.470419, 0.019500,-0.338550
0.020000,-0.453325, 0.020000,-0.355644
0.020500,-0.387390, 0.020500,-0.358086
0.021000,-0.365413, 0.021000,-0.348318
0.021500,-0.455767, 0.021500,-0.358086
0.022000,-0.492396, 0.022000,-0.358086
0.022500,-0.521700, 0.022500,-0.348318
0.023000,-0.568099, 0.023000,-0.353202
0.023500,-0.560773, 0.023500,-0.362970
0.024000,-0.511933, 0.024000,-0.331224
0.024500,-0.504607, 0.024500,-0.343435
0.025000,-0.509491, 0.025000,-0.314130
0.025500,-0.472860, 0.025500,-0.294594
0.026000,-0.419136, 0.026000,-0.279943
0.026500,-0.421579, 0.026500,-0.284826
0.027000,-0.377623, 0.027000,-0.311688
0.027500,-0.455767, 0.027500,-0.319014
0.028000,-0.443556, 0.028000,-0.340993
0.028500,-0.399601, 0.028500,-0.345876
0.029000,-0.487513, 0.029000,-0.358086
0.029500,-0.497281, 0.029500,-0.384949
0.030000,-0.472860, 0.030000,-0.370296
0.030500,-0.367854, 0.030500,-0.367854
